año,RMM,grupo,colores,proj_unit,colores_b
1990,265,1,a,1,a
1991,265,1,a,1,a
1992,265,1,a,1,a
1993,265,1,a,1,a
1994,265,1,a,1,a
1995,265,1,a,1,a
1996,265,1,a,1,b
1997,185,1,c,2,a
1998,185,1,c,1,a
1999,185,1,c,1,a
2000,185,1,c,1,a
2001,185,1,c,1,b
2002,"101,2",1,b,3,a
2003,"109,1",1,b,1,a
2004,116,1,b,1,a
2005,107,1,b,1,a
2006,"100,8",1,b,1,a
2007,98,1,b,1,a
2008,"99,7",1,b,1,a
2009,"94,9",1,b,1,a
2010,"85,2",1,b,1,a
2011,"86,6",1,b,1,a
2012,"80,2",1,b,1,a
2013,"73,2",1,b,1,a
2014,"73,8",1,b,1,a
2015,"76,8",1,b,1,a
2016,"60,7",1,b,1,a
2017,"70,6",1,b,1,a
2018,"67,2",1,b,1,a
2019,"56,9",1,b,1,a
2020,,1,b,1,a